# PRJNA316969 Assembly Details						
# Assembly	Level	WGS	Chrs	BioSample	Strain	Taxonomy
GCA_012030285.1	Contig	JAAUWC000000000	undefined	SAMN14478489	UMB7766	Lactobacillus jensenii
GCA_012029675.1	Contig	JAAUWK000000000	undefined	SAMN14478481	UMB0847	Lactobacillus jensenii
GCA_012029775.1	Contig	JAAUWN000000000	undefined	SAMN14478478	UMB0836	Lactobacillus jensenii
GCA_008727085.1	Contig	VYWW00000000	undefined	SAMN12796998	UMB246	Lactobacillus jensenii
GCA_008727025.1	Contig	VYWT00000000	undefined	SAMN12797001	UMB572	Lactobacillus jensenii
GCA_008726555.1	Contig	VYVV00000000	undefined	SAMN12797028	UMB4685	Lactobacillus jensenii
GCA_008726585.1	Contig	VYVY00000000	undefined	SAMN12797025	UMB3442	Lactobacillus jensenii
GCA_008726405.1	Contig	VYVO00000000	undefined	SAMN12797037	UMB8440	Lactobacillus jensenii
GCA_008726325.1	Contig	VYVL00000000	undefined	SAMN12797040	UMB8651	Lactobacillus jensenii
GCA_007786035.1	Scaffold	VNFZ00000000	undefined	SAMN12277451	UMB0055	Lactobacillus jensenii
GCA_007786085.1	Scaffold	VNGB00000000	undefined	SAMN12277449	UMB0034	Lactobacillus jensenii
GCA_007786095.1	Scaffold	VNGE00000000	undefined	SAMN12277446	UMB1355	Lactobacillus jensenii
GCA_007785825.1	Contig	VNFR00000000	undefined	SAMN12277459	UMB0732	Lactobacillus jensenii
GCA_007785935.1	Scaffold	VNFW00000000	undefined	SAMN12277454	UMB8489	Lactobacillus jensenii
GCA_007786155.1	Scaffold	VNGH00000000	undefined	SAMN12277443	UMB1165	Lactobacillus jensenii
GCA_007786135.1	Scaffold	VNGG00000000	undefined	SAMN12277444	UMB1307	Lactobacillus jensenii
GCA_007786145.1	Scaffold	VNGF00000000	undefined	SAMN12277445	UMB1303	Lactobacillus jensenii
GCA_007785915.1	Scaffold	VNGA00000000	undefined	SAMN12277450	UMB0037	Lactobacillus jensenii
GCA_007786225.1	Scaffold	VNFO00000000	undefined	SAMN12277462	UMB8354	Lactobacillus jensenii
GCA_007786055.1	Scaffold	VNFP00000000	undefined	SAMN12277461	UMB7846	Lactobacillus jensenii
GCA_008728065.1	Contig	VYYX00000000	undefined	SAMN12797029	UMB4707	Lactobacillus jensenii
GCA_008728115.1	Contig	VYYZ00000000	undefined	SAMN12797011	UMB639	Lactobacillus jensenii
GCA_026184055.1	Contig	JAPFWC000000000	undefined	SAMN31552328	UMB9984	Lactobacillus mulieris
GCA_026184115.1	Contig	JAPFWG000000000	undefined	SAMN31552324	UMB0047	Lactobacillus mulieris
GCA_026184095.1	Contig	JAPFWE000000000	undefined	SAMN31552326	UMB8026	Lactobacillus mulieris
GCA_026184175.1	Contig	JAPFWH000000000	undefined	SAMN31552323	UMB0021	Lactobacillus mulieris
GCA_026184155.1	Contig	JAPFWI000000000	undefined	SAMN31552322	UMB0007LM	Lactobacillus mulieris
GCA_021495045.1	Contig	JAKEYK000000000	undefined	SAMN24519007	UMB7800	Lactobacillus mulieris
GCA_021495055.1	Contig	JAKEYM000000000	undefined	SAMN24519009	UMB8354	Lactobacillus mulieris
GCA_021495025.1	Contig	JAKEYH000000000	undefined	SAMN24519004	UMB1186	Lactobacillus mulieris
GCA_012102935.1	Contig	JAAVSF000000000	undefined	SAMN14478496	UMB7784	Lactobacillus mulieris
GCA_012102955.1	Contig	JAAVSE000000000	undefined	SAMN14478500	UMB9245	Lactobacillus mulieris
GCA_007785845.1	Scaffold	VNFX00000000	undefined	SAMN12277453	UMB6975	Lactobacillus paragasseri
GCA_007785945.1	Contig	VNFQ00000000	undefined	SAMN12277460	UMB0596	Lactobacillus paragasseri
GCA_007785885.1	Contig	VNFV00000000	undefined	SAMN12277455	UMB1065	Lactobacillus paragasseri
GCA_002863265.1	Scaffold	PKKD00000000	undefined	SAMN08193695	UMB0187	Limosilactobacillus fermentum
GCA_002940945.1	Contig	PNFV00000000	undefined	SAMN07580856	UMB0683	Limosilactobacillus pontis
GCA_002871415.1	Scaffold	PNFU00000000	undefined	SAMN07511422	UMB0228	Microbacterium sp. UMB0228
GCA_002884675.1	Scaffold	PNGM00000000	undefined	SAMN07511423	UMB0189	Micrococcus luteus
GCA_002863365.1	Contig	PKJU00000000	undefined	SAMN08193704	UMB0031	Micrococcus luteus
GCA_002863375.1	Scaffold	PKJV00000000	undefined	SAMN08193703	UMB0867	Micrococcus luteus
GCA_002863345.1	Contig	PKJT00000000	undefined	SAMN08193705	UMB0038	Micrococcus luteus
GCA_002871575.1	Scaffold	PNGL00000000	undefined	SAMN07511424	UMB0955	Micrococcus lylae
GCA_002863315.1	Scaffold	PKJS00000000	undefined	SAMN08193706	UMB0416	Moraxella osloensis
GCA_002847885.1	Scaffold	PKJR00000000	undefined	SAMN08193707	UMB1297	Morganella morganii
GCA_002847985.1	Scaffold	PKJP00000000	undefined	SAMN08193709	UMB0210	Neisseria perflava
GCA_002863305.1	Scaffold	PKJQ00000000	undefined	SAMN08193708	UMB0023	Neisseria perflava
GCA_002863285.1	Scaffold	PKJO00000000	undefined	SAMN08193710	UMB0321	Neisseria sicca
GCA_001696685.1	Scaffold	MBFG00000000	undefined	SAMN05371532	LUREC	Nosocomiicoccus ampullae
GCA_002871345.1	Scaffold	PNFT00000000	undefined	SAMN07511425	UMB0959	Nosocomiicoccus massiliensis
GCA_002884655.1	Scaffold	PNGK00000000	undefined	SAMN07511426	UMB0345	Oligella urethralis
GCA_002871635.1	Scaffold	PNGY00000000	undefined	SAMN07511409	UMB0411	Peptoniphilus lacrimalis
GCA_002884815.1	Scaffold	PNGX00000000	undefined	SAMN07511410	UMB0663	Peptoniphilus lacrimalis
GCA_002884635.1	Scaffold	PNGJ00000000	undefined	SAMN07511427	UMB0536	Prevotella buccalis
GCA_002871515.1	Scaffold	PNGI00000000	undefined	SAMN07511428	UMB0818	Prevotella timonensis
GCA_002871835.1	Scaffold	PNHN00000000	undefined	SAMN07511390	UMB0500	Priestia megaterium
GCA_002861105.1	Contig	PKIT00000000	undefined	SAMN08193712	UMB0315	Proteus mirabilis
GCA_012030315.1	Contig	JAAUWO000000000	undefined	SAMN14478477	UMB0038	Proteus mirabilis
GCA_012030515.1	Contig	JAAUWF000000000	undefined	SAMN14478486	UMB1310	Proteus mirabilis
GCA_002871855.1	Scaffold	PNHO00000000	undefined	SAMN07511389	UMB0715	Pseudoglutamicibacter albus
GCA_002847605.1	Scaffold	PKGR00000000	undefined	SAMN08193645	UMB0722	Pseudoglutamicibacter albus
GCA_002861065.1	Scaffold	PKIS00000000	undefined	SAMN08193713	UMB0740	Pseudomonas aeruginosa
GCA_017353375.1	Contig	JAFMTZ000000000	undefined	SAMN18211428	UMB8183	Pseudomonas aeruginosa
GCA_009807625.1	Contig	WUDM00000000	undefined	SAMN13634703	UMB0801	Pseudomonas aeruginosa
GCA_009807555.1	Contig	WUDF00000000	undefined	SAMN13634710	UMB4836	Pseudomonas aeruginosa
GCA_009807525.1	Contig	WUDK00000000	undefined	SAMN13634705	UMB1204	Pseudomonas aeruginosa
GCA_009807515.1	Contig	WUDO00000000	undefined	SAMN13634701	UMB151	Pseudomonas aeruginosa
GCA_009807535.1	Contig	WUDG00000000	undefined	SAMN13634709	UMB4740	Pseudomonas aeruginosa
GCA_009807545.1	Contig	WUDC00000000	undefined	SAMN13634713	UMB7777	Pseudomonas aeruginosa
GCA_009807355.1	Contig	WUDL00000000	undefined	SAMN13634704	UMB0802	Pseudomonas aeruginosa
GCA_009807285.1	Contig	WUDD00000000	undefined	SAMN13634712	UMB7567	Pseudomonas aeruginosa
GCA_009807275.1	Contig	WUDH00000000	undefined	SAMN13634708	UMB2261	Pseudomonas aeruginosa
GCA_009807265.1	Contig	WUDE00000000	undefined	SAMN13634711	UMB6995	Pseudomonas aeruginosa
GCA_009807295.1	Contig	WUDI00000000	undefined	SAMN13634707	UMB2253	Pseudomonas aeruginosa
GCA_009807255.1	Contig	WUDN00000000	undefined	SAMN13634702	UMB0501	Pseudomonas aeruginosa
GCA_009807395.1	Contig	WUDJ00000000	undefined	SAMN13634706	UMB2231	Pseudomonas aeruginosa
GCA_009391925.1	Contig	WHVM00000000	undefined	SAMN13091964	UM5686	Pseudomonas aeruginosa
GCA_009391905.1	Contig	WHVN00000000	undefined	SAMN13091963	UM1046	Pseudomonas aeruginosa
GCA_008086145.1	Scaffold	VSIZ00000000	undefined	SAMN12594151	UMB2738	Pseudomonas aeruginosa
GCA_002861025.1	Contig	PKIR00000000	undefined	SAMN08193714	UMB0083	Rothia dentocariosa
GCA_002861015.1	Scaffold	PKIQ00000000	undefined	SAMN08193715	UMB0024	Rothia mucilaginosa
GCA_002847525.1	Scaffold	PKKM00000000	undefined	SAMN08193632	UMB0018	Schaalia odontolytica
GCA_002847545.1	Scaffold	PKKJ00000000	undefined	SAMN08193635	UMB0250	Schaalia turicensis
GCA_002884555.1	Contig	PNGH00000000	undefined	SAMN07511429	UMB0910	Staphylococcus aureus
GCA_024742215.1	Contig	JANRMH000000000	undefined	SAMN30370630	UMB7543	Staphylococcus epidermidis
GCA_018919425.1	Contig	JAHLLX000000000	undefined	SAMN19595171	UMB0039-1M	Staphylococcus epidermidis
GCA_018919325.1	Contig	JAHLMB000000000	undefined	SAMN19595175	UMB7781-2F	Staphylococcus epidermidis
GCA_012029805.1	Contig	JAAUVT000000000	undefined	SAMN14478499	UMB8493	Staphylococcus epidermidis
GCA_012030625.1	Contig	JAAUWD000000000	undefined	SAMN14478488	UMB7765	Staphylococcus epidermidis
GCA_008728125.1	Contig	VYYY00000000	undefined	SAMN12797020	UMB1227	Staphylococcus epidermidis
GCA_008727015.1	Contig	VYWS00000000	undefined	SAMN12797002	UMB593	Staphylococcus epidermidis
GCA_008726905.1	Contig	VYWN00000000	undefined	SAMN12797008	UMB626	Staphylococcus epidermidis
GCA_008726465.1	Contig	VYVR00000000	undefined	SAMN12797033	UMB7759	Staphylococcus epidermidis
GCA_008726735.1	Contig	VYWE00000000	undefined	SAMN12797018	UMB1201	Staphylococcus epidermidis
GCA_008726775.1	Contig	VYWG00000000	undefined	SAMN12797016	UMB1188	Staphylococcus epidermidis
GCA_008726255.1	Contig	VYVG00000000	undefined	SAMN12797045	UMB9183	Staphylococcus epidermidis
GCA_002860985.1	Scaffold	PKIP00000000	undefined	SAMN08193716	UMB0272	Staphylococcus hominis
GCA_018919365.1	Contig	JAHLLY000000000	undefined	SAMN19595172	UMB1296-1T	Staphylococcus hominis
GCA_002884615.1	Scaffold	PNGG00000000	undefined	SAMN07511431	UMB0834	Staphylococcus pettenkoferi
GCA_002940975.1	Contig	PNFS00000000	undefined	SAMN07511430	UMB0328	Staphylococcus sp. UMB0328
GCA_002871335.1	Scaffold	PNFR00000000	undefined	SAMN07580857	UMB0767b	Streptococcus agalactiae
GCA_002871535.1	Contig	PNGF00000000	undefined	SAMN07511432	UMB0776	Streptococcus agalactiae
GCA_002861005.1	Scaffold	PKIO00000000	undefined	SAMN08193718	UMB0767	Streptococcus agalactiae
GCA_002884585.1	Contig	PNGE00000000	undefined	SAMN07511433	UMB0049	Streptococcus agalactiae
GCA_012030185.1	Contig	JAAUVX000000000	undefined	SAMN14478494	UMB7782	Streptococcus agalactiae
GCA_002847945.1	Scaffold	PKIK00000000	undefined	SAMN08193722	UMB0329	Streptococcus anginosus
GCA_002848125.1	Scaffold	PKII00000000	undefined	SAMN08193724	UMB0050	Streptococcus anginosus
GCA_002848085.1	Scaffold	PKIH00000000	undefined	SAMN08193725	UMB0142	Streptococcus anginosus
GCA_002848065.1	Scaffold	PKIJ00000000	undefined	SAMN08193723	UMB0220	Streptococcus anginosus
GCA_002860965.1	Scaffold	PKIN00000000	undefined	SAMN08193719	UMB0252	Streptococcus anginosus
GCA_002860945.1	Scaffold	PKIM00000000	undefined	SAMN08193720	UMB0839	Streptococcus anginosus
GCA_002860925.1	Scaffold	PKIL00000000	undefined	SAMN08193721	UMB0820	Streptococcus anginosus
GCA_025909735.1	Contig	JAPAHA000000000	undefined	SAMN31407761	UMB9086	Streptococcus anginosus
GCA_025909685.1	Contig	JAPAGV000000000	undefined	SAMN31407766	UMB9334	Streptococcus anginosus
GCA_025909675.1	Contig	JAPAHD000000000	undefined	SAMN31407758	UMB8050	Streptococcus anginosus
GCA_025909655.1	Contig	JAPAHN000000000	undefined	SAMN31407748	UMB9970	Streptococcus anginosus
GCA_025909615.1	Contig	JAPAHU000000000	undefined	SAMN31407741	UMB9231	Streptococcus anginosus
GCA_025909565.1	Contig	JAPAHK000000000	undefined	SAMN31407751	UMB10318	Streptococcus anginosus
GCA_025909635.1	Contig	JAPAHP000000000	undefined	SAMN31407746	UMB9908	Streptococcus anginosus
GCA_025909555.1	Contig	JAPAHL000000000	undefined	SAMN31407750	UMB10058	Streptococcus anginosus
GCA_025909755.1	Contig	JAPAGX000000000	undefined	SAMN31407764	UMB9214	Streptococcus anginosus
GCA_025909715.1	Contig	JAPAHI000000000	undefined	SAMN31407753	UMB1090	Streptococcus anginosus
GCA_025909455.1	Contig	JAPAHG000000000	undefined	SAMN31407755	UMB6879	Streptococcus anginosus
GCA_025909435.1	Contig	JAPAGU000000000	undefined	SAMN31407767	UMB9345	Streptococcus anginosus
GCA_025909385.1	Contig	JAPAIU000000000	undefined	SAMN31407715	UMB1049	Streptococcus anginosus
GCA_025909375.1	Contig	JAPAHX000000000	undefined	SAMN31407738	UMB8885	Streptococcus anginosus
GCA_025909335.1	Contig	JAPAIN000000000	undefined	SAMN31407722	UMB5706	Streptococcus anginosus
GCA_025909345.1	Contig	JAPAHS000000000	undefined	SAMN31407743	UMB9618	Streptococcus anginosus
GCA_025909295.1	Contig	JAPAIM000000000	undefined	SAMN31407723	UMB6516	Streptococcus anginosus
GCA_025909305.1	Contig	JAPAHW000000000	undefined	SAMN31407739	UMB9072	Streptococcus anginosus
GCA_025909255.1	Contig	JAPAIR000000000	undefined	SAMN31407718	UMB1226	Streptococcus anginosus
GCA_025909025.1	Contig	JAPAIH000000000	undefined	SAMN31407728	UMB7556	Streptococcus anginosus
GCA_025909015.1	Contig	JAPAII000000000	undefined	SAMN31407727	UMB7514	Streptococcus anginosus
GCA_025908995.1	Contig	JAPAIO000000000	undefined	SAMN31407721	UMB1357	Streptococcus anginosus
GCA_025909175.1	Contig	JAPAIC000000000	undefined	SAMN31407733	UMB8047	Streptococcus anginosus
GCA_025909095.1	Contig	JAPAIK000000000	undefined	SAMN31407725	UMB6888	Streptococcus anginosus
GCA_025909115.1	Contig	JAPAIP000000000	undefined	SAMN31407720	UMB1339	Streptococcus anginosus
GCA_025909155.1	Contig	JAPAIS000000000	undefined	SAMN31407717	UMB1224	Streptococcus anginosus
GCA_025909125.1	Contig	JAPAIQ000000000	undefined	SAMN31407719	UMB1338	Streptococcus anginosus
GCA_025909595.1	Contig	JAPAHH000000000	undefined	SAMN31407754	UMB1640	Streptococcus anginosus
GCA_025909505.1	Contig	JAPAHT000000000	undefined	SAMN31407742	UMB9388	Streptococcus anginosus
GCA_025909515.1	Contig	JAPAGT000000000	undefined	SAMN31407768	UMB10048	Streptococcus anginosus
GCA_025909495.1	Contig	JAPAHF000000000	undefined	SAMN31407756	UMB8030	Streptococcus anginosus
GCA_025909415.1	Contig	JAPAHV000000000	undefined	SAMN31407740	UMB9213	Streptococcus anginosus
GCA_025909465.1	Contig	JAPAHY000000000	undefined	SAMN31407737	UMB8810	Streptococcus anginosus
GCA_025909235.1	Contig	JAPAHQ000000000	undefined	SAMN31407745	UMB9868	Streptococcus anginosus
GCA_025909215.1	Contig	JAPAHO000000000	undefined	SAMN31407747	UMB9933	Streptococcus anginosus
GCA_025909195.1	Contig	JAPAIT000000000	undefined	SAMN31407716	UMB1096	Streptococcus anginosus
GCA_025909265.1	Contig	JAPAHR000000000	undefined	SAMN31407744	UMB9864	Streptococcus anginosus
GCA_025909075.1	Contig	JAPAIV000000000	undefined	SAMN31407714	UMB1022	Streptococcus anginosus
GCA_025908915.1	Contig	JAPAIL000000000	undefined	SAMN31407724	UMB6654	Streptococcus anginosus
GCA_025908955.1	Contig	JAPAIF000000000	undefined	SAMN31407730	UMB7778	Streptococcus anginosus
GCA_025908925.1	Contig	JAPAIW000000000	undefined	SAMN31407713	UMB0729	Streptococcus anginosus
GCA_025908895.1	Contig	JAPAIG000000000	undefined	SAMN31407729	UMB7585	Streptococcus anginosus
GCA_025908835.1	Contig	JAPAGS000000000	undefined	SAMN31407769	UMB10184	Streptococcus anginosus
GCA_025908855.1	Contig	JAPAIA000000000	undefined	SAMN31407735	UMB8501	Streptococcus anginosus
GCA_025908845.1	Contig	JAPAIB000000000	undefined	SAMN31407734	UMB8342	Streptococcus anginosus
GCA_025908815.1	Contig	JAPAIE000000000	undefined	SAMN31407731	UMB7842	Streptococcus anginosus
GCA_025908675.1	Contig	JAPAGQ000000000	undefined	SAMN31407771	UMB8624	Streptococcus anginosus
GCA_025908775.1	Contig	JAPAID000000000	undefined	SAMN31407732	UMB8042	Streptococcus anginosus
GCA_025908755.1	Contig	JAPAGY000000000	undefined	SAMN31407763	UMB9133	Streptococcus anginosus
GCA_025908785.1	Contig	JAPAHZ000000000	undefined	SAMN31407736	UMB8649	Streptococcus anginosus
GCA_025908735.1	Contig	JAPAHE000000000	undefined	SAMN31407757	UMB8040	Streptococcus anginosus
GCA_025908705.1	Contig	JAPAHB000000000	undefined	SAMN31407760	UMB9076	Streptococcus anginosus
GCA_025908685.1	Contig	JAPAHC000000000	undefined	SAMN31407759	UMB8184	Streptococcus anginosus
GCA_025908505.1	Contig	JAPAGW000000000	undefined	SAMN31407765	UMB9290	Streptococcus anginosus
GCA_025908975.1	Contig	JAPAIJ000000000	undefined	SAMN31407726	UMB7433	Streptococcus anginosus
GCA_025908655.1	Contig	JAPAHM000000000	undefined	SAMN31407749	UMB9980	Streptococcus anginosus
GCA_025908605.1	Contig	JAPAGR000000000	undefined	SAMN31407770	UMB10324	Streptococcus anginosus
GCA_025908635.1	Contig	JAPAGZ000000000	undefined	SAMN31407762	UMB9089	Streptococcus anginosus
GCA_025908595.1	Contig	JAPAHJ000000000	undefined	SAMN31407752	UMB0794	Streptococcus anginosus
GCA_018919275.1	Contig	JAHLMA000000000	undefined	SAMN19595174	UMB1353-1Y	Streptococcus anginosus
GCA_012030235.1	Contig	JAAUWB000000000	undefined	SAMN14478490	UMB7768	Streptococcus anginosus
GCA_012030005.1	Contig	JAAUWH000000000	undefined	SAMN14478484	UMB1296	Streptococcus anginosus
GCA_012030555.1	Contig	JAAUWM000000000	undefined	SAMN14478479	UMB0839	Streptococcus anginosus
GCA_008726305.1	Contig	VYVJ00000000	undefined	SAMN12797042	UMB8710	Streptococcus anginosus
GCA_008726415.1	Contig	VYVP00000000	undefined	SAMN12797036	UMB8390	Streptococcus anginosus
GCA_008726365.1	Contig	VYVM00000000	undefined	SAMN12797039	UMB8616	Streptococcus anginosus
GCA_008726835.1	Contig	VYWJ00000000	undefined	SAMN12797013	UMB972	Streptococcus anginosus
GCA_008726525.1	Contig	VYVU00000000	undefined	SAMN12797030	UMB4708	Streptococcus anginosus
GCA_008726505.1	Contig	VYVS00000000	undefined	SAMN12797032	UMB7052	Streptococcus anginosus
GCA_008726575.1	Contig	VYVX00000000	undefined	SAMN12797026	UMB3444	Streptococcus anginosus
GCA_008726565.1	Contig	VYVW00000000	undefined	SAMN12797027	UMB4683	Streptococcus anginosus
GCA_008726635.1	Contig	VYVZ00000000	undefined	SAMN12797024	UMB2128	Streptococcus anginosus
GCA_008726875.1	Contig	VYWM00000000	undefined	SAMN12797009	UMB633	Streptococcus anginosus
GCA_008726985.1	Contig	VYWR00000000	undefined	SAMN12797003	UMB595	Streptococcus anginosus
GCA_008726965.1	Contig	VYWQ00000000	undefined	SAMN12797004	UMB619	Streptococcus anginosus
GCA_008726945.1	Contig	VYWP00000000	undefined	SAMN12797006	UMB622	Streptococcus anginosus
GCA_008727075.1	Contig	VYWV00000000	undefined	SAMN12796999	UMB248	Streptococcus anginosus
GCA_008727045.1	Contig	VYWU00000000	undefined	SAMN12797000	UMB567	Streptococcus anginosus
GCA_002860805.1	Contig	PKIB00000000	undefined	SAMN08193731	UMB0733	Streptococcus macedonicus
GCA_002860825.1	Contig	PKID00000000	undefined	SAMN08193729	UMB0079	Streptococcus mitis
GCA_002860865.1	Scaffold	PKIE00000000	undefined	SAMN08193728	UMB1341	Streptococcus mitis
GCA_009496905.1	Contig	WIJB00000000	undefined	SAMN13105985	SM50	Streptococcus mitis
GCA_009496895.1	Contig	WIJC00000000	undefined	SAMN13105984	SM49	Streptococcus mitis
GCA_009496835.1	Contig	WIIZ00000000	undefined	SAMN13105987	SM18	Streptococcus mitis
GCA_009496825.1	Contig	WIJA00000000	undefined	SAMN13105986	SM17	Streptococcus mitis
GCA_009496815.1	Contig	WIIW00000000	undefined	SAMN13105990	SM36	Streptococcus mitis
GCA_009496805.1	Contig	WIIY00000000	undefined	SAMN13105988	SM19	Streptococcus mitis
GCA_009496795.1	Contig	WIIV00000000	undefined	SAMN13105991	SM37	Streptococcus mitis
GCA_009496755.1	Contig	WIIU00000000	undefined	SAMN13105992	SM42	Streptococcus mitis
GCA_009496735.1	Contig	WIIT00000000	undefined	SAMN13105993	SM43	Streptococcus mitis
GCA_009496725.1	Contig	WIIS00000000	undefined	SAMN13105994	SM44	Streptococcus mitis
GCA_009496435.1	Contig	WIJS00000000	undefined	SAMN13105968	SM04	Streptococcus mitis
GCA_009496445.1	Contig	WIJM00000000	undefined	SAMN13105974	SM14	Streptococcus mitis
GCA_009496395.1	Contig	WIKE00000000	undefined	SAMN13105956	SM05	Streptococcus mitis
GCA_009496385.1	Contig	WIJZ00000000	undefined	SAMN13105961	SM26	Streptococcus mitis
GCA_009496375.1	Contig	WIKC00000000	undefined	SAMN13105958	SM09	Streptococcus mitis
GCA_009496355.1	Contig	WIJY00000000	undefined	SAMN13105962	SM27	Streptococcus mitis
GCA_009496335.1	Contig	WIKD00000000	undefined	SAMN13105957	SM07	Streptococcus mitis
GCA_009496275.1	Contig	WIJT00000000	undefined	SAMN13105967	SM48	Streptococcus mitis
GCA_009496285.1	Contig	WIJK00000000	undefined	SAMN13105976	SM16	Streptococcus mitis
GCA_009496295.1	Contig	WIJL00000000	undefined	SAMN13105975	SM15	Streptococcus mitis
GCA_009496255.1	Contig	WIJH00000000	undefined	SAMN13105979	SM34	Streptococcus mitis
GCA_009496235.1	Contig	WIJF00000000	undefined	SAMN13105981	SM41	Streptococcus mitis
GCA_009496205.1	Contig	WIJO00000000	undefined	SAMN13105972	SM11	Streptococcus mitis
GCA_009496185.1	Contig	WIJG00000000	undefined	SAMN13105980	SM40	Streptococcus mitis
GCA_009496165.1	Contig	WIJQ00000000	undefined	SAMN13105970	SM08	Streptococcus mitis
GCA_009496155.1	Contig	WIJP00000000	undefined	SAMN13105971	SM10	Streptococcus mitis
GCA_009496135.1	Contig	WIJW00000000	undefined	SAMN13105964	SM33	Streptococcus mitis
GCA_009496085.1	Contig	WIJN00000000	undefined	SAMN13105973	SM13	Streptococcus mitis
GCA_009496045.1	Contig	WIJX00000000	undefined	SAMN13105963	SM30	Streptococcus mitis
GCA_009496075.1	Contig	WIJE00000000	undefined	SAMN13105982	SM46	Streptococcus mitis
GCA_009496065.1	Contig	WIJI00000000	undefined	SAMN13105978	SM29	Streptococcus mitis
GCA_009496035.1	Contig	WIJJ00000000	undefined	SAMN13105977	SM28	Streptococcus mitis
GCA_009495895.1	Contig	WIIX00000000	undefined	SAMN13105989	SM35	Streptococcus mitis
GCA_009495735.1	Contig	WIJU00000000	undefined	SAMN13105966	SM45	Streptococcus mitis
GCA_009495705.1	Contig	WIKA00000000	undefined	SAMN13105960	SM20	Streptococcus mitis
GCA_009495695.1	Contig	WIJV00000000	undefined	SAMN13105965	SM39	Streptococcus mitis
GCA_009495955.1	Contig	WIJD00000000	undefined	SAMN13105983	SM47	Streptococcus mitis
GCA_009495945.1	Contig	WIKB00000000	undefined	SAMN13105959	SM12	Streptococcus mitis
GCA_009496505.1	Contig	WIJR00000000	undefined	SAMN13105969	SM06	Streptococcus mitis
GCA_002860905.1	Scaffold	PKIG00000000	undefined	SAMN08193726	UMB0832	Streptococcus oralis subsp. dentisani
GCA_002860885.1	Contig	PKIF00000000	undefined	SAMN08193727	UMB0008	Streptococcus oralis subsp. dentisani
GCA_002871315.1	Scaffold	PNFQ00000000	undefined	SAMN07580858	UMB0079b	Streptococcus oralis subsp. dentisani
GCA_002860845.1	Contig	PKIC00000000	undefined	SAMN08193730	UMB0216	Streptococcus parasanguinis
GCA_002860785.1	Scaffold	PKIA00000000	undefined	SAMN08193732	UMB0051	Streptococcus salivarius
GCA_002860765.1	Scaffold	PKHZ00000000	undefined	SAMN08193733	UMB0028	Streptococcus salivarius
GCA_002871495.1	Scaffold	PNGD00000000	undefined	SAMN07511435	UMB0029	Streptococcus sp. UMB0029
GCA_002871655.1	Scaffold	PNGU00000000	undefined	SAMN07511413	UMB1385	Streptococcus sp. UMB1385
GCA_002860745.1	Contig	PKHY00000000	undefined	SAMN08193734	UMB0116	Trueperella bernardiae
GCA_002871455.1	Scaffold	PNGC00000000	undefined	SAMN07511436	UMB0744	Varibaculum cambriense
GCA_002848005.1	Scaffold	PKHX00000000	undefined	SAMN08193735	UMB0796	Varibaculum cambriense
GCA_002847925.1	Scaffold	PKHW00000000	undefined	SAMN08193736	UMB0371	Veillonella parvula
GCA_002860625.1	Contig	PKKO00000000	undefined	SAMN08193629	UMB0402	Winkia neuii
GCA_002860645.1	Scaffold	PKKN00000000	undefined	SAMN08193630	UMB0125	Winkia neuii
GCA_012030015.1	Contig	JAAUWI000000000	undefined	SAMN14478483	UMB1295	Winkia neuii
